ROI,T,P_raw,P_FDR
1,-0.42971296570179196,0.6676296445489105,0.7093564973332174
2,-1.1261958827381555,0.26073976382030933,0.29066072032427925
3,-2.146592399391865,0.032410436529629605,0.056510504718328546
4,-2.0561917077420517,0.04039499231155762,0.06540141612347423
5,-1.9553185355818286,0.0512227757040958,0.07454127446465662
6,-2.7616204538159193,0.006009411810247792,0.020432000154842492
7,-3.3868855669022357,0.0007750249764728171,0.008073049245795605
8,-2.4516029599142826,0.014637459538970141,0.033178241621665654
9,0.06538962433902112,0.9478955785066614,0.9513171070721986
10,-3.564111180995987,0.00040796307094082235,0.007998922856904612
11,-3.117744210274424,0.0019505405171361902,0.012057886833205538
12,-1.5657229981602958,0.11818306634297236,0.1478305236850005
13,-2.063485168593054,0.039693917844024276,0.06540141612347423
14,-4.251811058891609,2.627141538294219e-05,0.001786456246040069
15,-2.979333606179257,0.0030601129667589154,0.014051806302154017
16,-3.3291259866588625,0.0009497704995053653,0.008073049245795605
17,-1.8962480030844413,0.05862830472699433,0.07973449442871229
18,-2.2918665102108227,0.022418213584039257,0.0435553863918477
19,-1.2109941115502714,0.22659353492832485,0.2568060062521015
20,-1.4383798691464744,0.15108732001719424,0.18024452212577557
21,-2.3331265020905128,0.02012315480100121,0.04024630960200242
22,-1.8964242292282234,0.058604950269587196,0.07973449442871229
23,-2.607597592843846,0.009449980872642162,0.025703947973586678
24,-2.2675156995686367,0.023877256169312508,0.04510148387536807
25,-0.2440086012977895,0.8073459152107769,0.8318109429444368
26,-2.9515426194390724,0.0033430405592846544,0.01420792237695978
27,-2.729710868168525,0.006611410882090636,0.020515702472344587
28,-3.1562683718603433,0.0017156982516182695,0.011666748111004233
29,-3.4736708434675383,0.0005679386278380827,0.007998922856904612
30,-2.1927402820906168,0.028885956977791283,0.05169065985499493
31,-2.4812328488314246,0.01349189118815503,0.03276602145694793
32,-1.5799299830672262,0.1148921634105284,0.14740881343237605
33,-2.659143201215687,0.008140083943383739,0.02324042223622025
34,-2.6565235362878,0.008202501965724794,0.02324042223622025
35,-1.9528040614745734,0.051521174997630315,0.07454127446465662
36,-0.26028056652174014,0.7947777078141304,0.8314597558670902
37,-3.353412074730124,0.0008722512980602656,0.008073049245795605
38,-2.0214102976832686,0.043884965646621144,0.06782221963568721
39,-1.108871932204225,0.26813386314986715,0.2940823015192091
40,-2.975310790827219,0.0030996631548869153,0.014051806302154017
41,-2.4207150653851923,0.01592247929331642,0.034926728772436015
42,-2.0886569965901574,0.03735337754863396,0.06350074183267773
43,-1.4215409780391235,0.15591788755517538,0.18280028196124012
44,-2.53464123973731,0.011626378013527772,0.029281248330366244
45,-1.8963698849012738,0.05861215145148984,0.07973449442871229
46,-1.5124099371387587,0.13119812915050544,0.1593120139684709
47,-1.5598338098150768,0.11956880592169157,0.1478305236850005
48,-2.03374291463373,0.042619335920469015,0.0673980195951603
49,-2.8757937301285046,0.004239812378128419,0.01517406535330171
50,-2.238350052118098,0.025733002151338363,0.04729308503489213
51,-2.4054526550113757,0.016593436532907287,0.035261052632427986
52,-2.392248522317888,0.01719388787704142,0.03542982956481262
53,-2.8887767197792416,0.004072028174878958,0.01517406535330171
54,-0.9620991862008369,0.33656546913920493,0.36327701430898307
55,-1.9775991492436438,0.04864158034994133,0.07350283252880023
56,0.06109015205281734,0.9513171070721986,0.9513171070721986
57,-2.9960216051318276,0.002900929454110202,0.014051806302154017
58,-3.4639953969399575,0.0005881560924194568,0.007998922856904612
59,-1.7276020606121862,0.08481080212522807,0.11090643354837518
60,-2.5798780425122634,0.010229790319239077,0.026754836219548356
61,-3.220893327795066,0.0013795330037747167,0.010423138250742304
62,-3.7507020794074717,0.00020165539267644084,0.006856283350998989
63,-2.91979720870601,0.0036953516095541003,0.014781406438216401
64,-2.4652940863101125,0.014097840816479803,0.0330570060524354
65,-1.2296815433757535,0.21951983339846043,0.25300590967958153
66,-1.809516455401251,0.0711012128442297,0.0948016171256396
67,-3.062931157089888,0.002335974006339512,0.0132371860359239
68,-2.728391571939639,0.006637433152817366,0.020515702472344587
